canton,year,building_type,product,n,price_median_chf_kwh,price_p10_chf_kwh,price_p90_chf_kwh,price_mean_chf_kwh,fixed_median_chf_year,fixed_p10_chf_year,fixed_p90_chf_year,grid_chf_kwh_mean,energy_supply_chf_kwh_mean,community_fees_chf_kwh_mean,kev_chf_kwh_mean,metering_var_chf_kwh_mean,price_ttc_median_chf_kwh,price_ttc_p10_chf_kwh,price_ttc_p90_chf_kwh
Aargau,2011,appartement,Standard product,7.0,0.16091,0.122934,0.177324,0.15216714285714286,,,,0.060354285714285714,0.0832442857142857,0.0032828571428571434,0.0045,,0.17394371,0.132891654,0.191687244
Aargau,2011,maison_individuelle,Standard product,8.0,0.16836,0.14311300000000002,0.21116,0.1731675,,,,0.08739625000000001,0.07648875,0.0049625,0.0045000000000000005,,0.18199716,0.15470515299999998,0.22826396
Aargau,2012,appartement,Standard product,7.0,0.15575,0.11895,0.17477600000000001,0.14855928571428573,,,,0.05775357142857144,0.08297714285714286,0.0036057142857142854,0.0045,,0.16836574999999998,0.12858495,0.188932856
Aargau,2012,maison_individuelle,Standard product,8.0,0.16526,0.140013,0.20806,0.17006749999999998,,,,0.08429624999999999,0.07648875,0.004975,0.0045000000000000005,,0.17864606,0.15135405300000002,0.22491285999999996
Aargau,2013,appartement,Standard product,7.0,0.16024999999999998,0.122114,0.1763,0.15081714285714284,,,,0.05614857142857143,0.08615857142857143,0.003634285714285714,0.0045,,0.17323024999999997,0.132005234,0.1905803
Aargau,2013,maison_individuelle,Standard product,8.0,0.169325,0.143824,0.211606,0.17392000000000002,,,,0.08279624999999999,0.08142250000000001,0.0049375,0.0045000000000000005,,0.183040325,0.155473744,0.228746086
Aargau,2014,appartement,Standard product,7.0,0.15454,0.11988199999999999,0.180706,0.1497014285714286,,,,0.06469428571428572,0.07533000000000001,0.0037957142857142864,0.005999999999999999,,0.16705774,0.129592442,0.195343186
Aargau,2014,maison_individuelle,Standard product,8.0,0.1709075,0.146991,0.214998,0.176258125,,,,0.09275875,0.0725425,0.005215000000000001,0.006,,0.1847510075,0.158897271,0.23241283799999998
Aargau,2015,appartement,Standard product,7.0,0.15478,0.118954,0.17933000000000002,0.14859285714285714,,,,0.06534214285714285,0.06801928571428571,0.0037628571428571433,0.011,,0.16731717999999998,0.128589274,0.19385573
Aargau,2015,maison_individuelle,Standard product,8.0,0.170535,0.14586100000000002,0.213006,0.17539749999999998,,,,0.0936275,0.0653325,0.0052925,0.011000000000000001,,0.18434833499999997,0.157675741,0.23025948599999999
Aargau,2016,appartement,Standard product,7.0,0.14175000000000001,0.112326,0.173684,0.14233285714285715,,,,0.06508,0.05700285714285714,0.003998571428571429,0.013,,0.15323175,0.12142440599999998,0.18775240399999998
Aargau,2016,maison_individuelle,Standard product,8.0,0.16658,0.142549,0.209194,0.1717075,,,,0.094366875,0.0580975,0.00549125,0.013000000000000001,,0.18007298,0.154095469,0.226138714
Aargau,2017,appartement,Standard product,7.0,0.14339000000000002,0.109156,0.169004,0.13890714285714287,,,,0.06292714285714286,0.055119999999999995,0.004070714285714286,0.015,,0.15500459000000003,0.117997636,0.182693324
Aargau,2017,maison_individuelle,Standard product,8.0,0.1619,0.1384265,0.20392500000000002,0.167049375,,,,0.09171625,0.0550975,0.00547,0.015,,0.17501389999999997,0.14963904649999998,0.220442925
Aargau,2018,appartement,Cheapest product,7.0,0.15313000000000002,0.11267800000000001,0.179852,0.14667857142857144,,,,0.06102428571428573,0.05924999999999999,0.0034014285714285713,0.022999999999999996,,0.16553353,0.12180491800000001,0.194420012
Aargau,2018,appartement,Standard product,7.0,0.15313000000000002,0.11773199999999999,0.179852,0.14837142857142857,,,,0.06137714285714286,0.057406428571428574,0.004054285714285714,0.022999999999999996,,0.16553353,0.127268292,0.194420012
Aargau,2018,maison_individuelle,Cheapest product,8.0,0.17472,0.151449,0.21679400000000001,0.179935,,,,0.09081375,0.060865,0.0052587499999999995,0.023,,0.18887231999999998,0.163716369,0.234354314
Aargau,2018,maison_individuelle,Standard product,8.0,0.17426999999999998,0.151449,0.21679400000000001,0.17962,,,,0.09081375,0.057795,0.005653750000000001,0.023,,0.18838586999999998,0.163716369,0.234354314
Aargau,2019,appartement,Cheapest product,7.0,0.18164000000000002,0.138854,0.19750600000000001,0.17005857142857142,,,,0.059538571428571434,0.08415285714285714,0.0033642857142857146,0.022999999999999996,,0.19635284000000003,0.150101174,0.213503986
Aargau,2019,appartement,Standard product,7.0,0.16114,0.137662,0.186366,0.16085,,,,0.05970857142857143,0.06706428571428572,0.004163571428571429,0.022999999999999996,,0.17419234,0.148812622,0.201461646
Aargau,2019,maison_individuelle,Cheapest product,8.0,0.19141999999999998,0.169771,0.23349399999999998,0.1972575,,,,0.09024874999999999,0.07874,0.0052725,0.023,,0.20692502,0.183522451,0.252407014
Aargau,2019,maison_individuelle,Standard product,8.0,0.18152,0.16234600000000002,0.218644,0.18627,,,,0.09024875,0.06550125,0.005653750000000001,0.023,,0.19622311999999997,0.175496026,0.23635416399999998
Aargau,2020,appartement,Cheapest product,7.0,0.18649000000000002,0.143394,0.209494,0.17713285714285718,,,,0.058662857142857135,0.09210714285714286,0.0033599999999999997,0.022999999999999996,,0.20159569000000002,0.155008914,0.226463014
Aargau,2020,appartement,Standard product,7.0,0.16896,0.143394,0.193932,0.16724571428571428,,,,0.059840000000000004,0.07306857142857144,0.004162857142857143,0.022999999999999996,,0.18264576,0.155008914,0.20964049199999998
Aargau,2020,maison_individuelle,Cheapest product,8.0,0.204745,0.183202,0.246711,0.21059125,,,,0.08944875,0.09287125,0.0052725,0.023,,0.22132934499999998,0.198041362,0.266694591
Aargau,2020,maison_individuelle,Standard product,8.0,0.18821500000000002,0.170504,0.226404,0.19394375,,,,0.08944875,0.0730525,0.005653750000000001,0.023,,0.203460415,0.184314824,0.244742724
Aargau,2021,appartement,Cheapest product,7.0,0.16637000000000002,0.114946,0.18665600000000002,0.1524557142857143,,,,0.05497571428571429,0.07132571428571428,0.0031585714285714286,0.022999999999999996,,0.17984597000000002,0.12425662600000001,0.20177513600000002
Aargau,2021,appartement,Standard product,7.0,0.16637000000000002,0.125246,0.18665600000000002,0.15698571428571428,,,,0.06097285714285715,0.07095285714285715,0.004054285714285714,0.022999999999999996,,0.17984597000000002,0.135390926,0.20177513600000002
Aargau,2021,maison_individuelle,Cheapest product,8.0,0.18218499999999999,0.161585,0.22203699999999998,0.18769875000000003,,,,0.08805874999999999,0.07145375000000001,0.00518875,0.023,,0.19694198499999999,0.17467338500000001,0.240021997
Aargau,2021,maison_individuelle,Standard product,8.0,0.18218499999999999,0.16193,0.22203699999999998,0.18784250000000002,,,,0.088415,0.070616875,0.005629375000000001,0.023,,0.19694198499999999,0.17504633,0.240021997
Aargau,2022,appartement,Cheapest product,7.0,0.16735,0.11469,0.195774,0.1552042857142857,,,,0.05816428571428572,0.07066571428571429,0.0033714285714285717,0.022999999999999996,,0.18090535,0.12397989,0.211631694
Aargau,2022,appartement,Standard product,7.0,0.16735,0.1319,0.195774,0.16277285714285714,,,,0.06401714285714286,0.07066571428571429,0.0041428571428571434,0.022999999999999996,,0.18090535,0.14258389999999999,0.211631694
Aargau,2022,maison_individuelle,Cheapest product,8.0,0.19185000000000002,0.17145600000000003,0.23155699999999999,0.19739875,,,,0.0922425,0.07672000000000001,0.0054375,0.023,,0.20738985,0.18534393600000001,0.250313117
Aargau,2022,maison_individuelle,Standard product,8.0,0.19185000000000002,0.17145600000000003,0.23155699999999999,0.19739875,,,,0.09255000000000001,0.07517437499999999,0.0057,0.023,,0.20738985,0.18534393600000001,0.250313117
