canton,year,profile,building_type,product,total_ex_vat_chf_kwh,grid_chf_kwh,energy_supply_chf_kwh,community_fees_chf_kwh,kev_chf_kwh,metering_var_chf_kwh,metering_fixed_chf_year,total_incl_vat_chf_kwh,grid_chf_kwh_incl_vat,energy_supply_chf_kwh_incl_vat,community_fees_chf_kwh_incl_vat,kev_chf_kwh_incl_vat,metering_var_chf_kwh_incl_vat
St Gallen,2021,C4,appartement,Cheapest product,0.16154,0.06393,0.06983,0.006,0.023,,,0.17462473999999997,0.06910833,0.07548623,0.006486,0.024863,
Basel Landschaft,2018,H6,maison_individuelle,Cheapest product,0.16606,0.06595,0.07110999999999999,0.006,0.023,,,0.17951086,0.07129194999999999,0.07686990999999999,0.006486,0.024863,
Vaud,2026,C3,appartement,Cheapest product,0.31262,0.12018000000000001,0.13257,0.03624,0.023,0.00062,93.36,0.33794222,0.12991458,0.14330816999999998,0.03917544,0.024863,0.00067022
Obwalden,2026,H5,maison_individuelle,Cheapest product,0.25103000000000003,0.11474000000000001,0.08984,0.013999999999999999,0.023,0.009439999999999999,70.8,0.27136343,0.12403394000000001,0.09711704,0.015133999999999998,0.024863,0.010204639999999997
Thurgau,2019,C4,appartement,Cheapest product,0.15615500000000002,0.07334,0.0575,0.0034999999999999996,0.023,,,0.16880355500000002,0.07928054,0.0621575,0.0037834999999999995,0.024863,
Bern,2025,C2,appartement,Cheapest product,0.2421,0.11259999999999999,0.0965,0.01,0.023,,,0.2617101,0.12172059999999998,0.10431649999999999,0.01081,0.024863,
Jura,2019,H4,maison_individuelle,Cheapest product,0.2532,0.12433,0.09086999999999999,0.015,0.023,,,0.2737092,0.13440073,0.09823046999999999,0.016215,0.024863,
Valais,2018,H5,maison_individuelle,Cheapest product,0.1414,0.0672,0.055,0.0068000000000000005,0.023,,,0.1528534,0.07264319999999999,0.059455,0.0073508,0.024863,
Basel Stadt,2018,H4,maison_individuelle,Cheapest product,0.27911,0.10107,0.07937999999999999,0.07566,0.023,,,0.30171791000000003,0.10925666999999999,0.08580977999999999,0.08178846000000001,0.024863,
Glarus,2025,H2,maison_individuelle,Cheapest product,0.32161,0.16661,0.122,0.01,0.023,,,0.34766041,0.18010541,0.131882,0.01081,0.024863,
St Gallen,2023,H4,maison_individuelle,Cheapest product,0.26769,0.09833,0.1384,0.01,0.023,,,0.28937289,0.10629472999999999,0.14961039999999998,0.01081,0.024863,
Neuchâtel,2026,H6,maison_individuelle,Cheapest product,0.25897,0.12533,0.09176000000000001,0.016,0.023,0.0028799999999999997,72.0,0.27994656999999995,0.13548173,0.09919256,0.017296,0.024863,0.0031132799999999995
Aargau,2018,C3,appartement,Cheapest product,0.16975,0.0791,0.06309999999999999,0.00455,0.023,,,0.18349975000000002,0.0855071,0.06821109999999998,0.00491855,0.024863,
Lucerne,2022,H5,maison_individuelle,Cheapest product,0.18031,0.07374,0.07617,0.0074,0.023,,,0.19491511,0.07971294,0.08233976999999999,0.0079994,0.024863,
Jura,2018,H4,maison_individuelle,Cheapest product,0.26157,0.12947,0.0941,0.015,0.023,,,0.28275717,0.13995707,0.1017221,0.016215,0.024863,
Vaud,2021,C2,appartement,Cheapest product,0.21822,0.08702,0.08,0.026000000000000002,0.023,,,0.23589581999999998,0.09406861999999999,0.08648,0.028106000000000003,0.024863,
Valais,2022,C3,appartement,Cheapest product,0.17489000000000002,0.06480000000000001,0.07929,0.0078000000000000005,0.023,,,0.18905609,0.07004880000000001,0.08571249,0.0084318,0.024863,
Neuchâtel,2023,H4,maison_individuelle,Cheapest product,0.26552,0.09969,0.12683999999999998,0.016,0.023,,,0.28702711999999997,0.10776489,0.13711403999999996,0.017296,0.024863,
Obwalden,2018,H5,maison_individuelle,Cheapest product,0.19129000000000002,0.09330999999999999,0.06099,0.013999999999999999,0.023,,,0.20678449000000002,0.10086810999999998,0.06593019,0.015133999999999998,0.024863,
Schwyz,2020,H2,maison_individuelle,Cheapest product,0.22582000000000002,0.11861000000000001,0.07439,0.0124,0.023,,,0.24411142000000002,0.12821741,0.08041559,0.013404399999999999,0.024863,
Vaud,2024,C3,appartement,Cheapest product,0.31701,0.09291,0.18789999999999998,0.0132,0.023,,,0.34268781,0.10043571,0.20311989999999996,0.0142692,0.024863,
Schaffhausen,2020,H5,maison_individuelle,Cheapest product,0.18669,0.09792999999999999,0.06576,0.0,0.023,,,0.20181189,0.10586232999999999,0.07108656,0.0,0.024863,
Schwyz,2022,C2,appartement,Cheapest product,0.18908000000000003,0.08326,0.07031,0.0124,0.023,,,0.20439548000000002,0.09000406,0.07600511,0.013404399999999999,0.024863,
Bern,2020,H4,maison_individuelle,Cheapest product,0.24555,0.12353,0.09086999999999999,0.015,0.023,,,0.26543954999999997,0.13353593,0.09823046999999999,0.016215,0.024863,
Neuchâtel,2021,C4,appartement,Cheapest product,0.1782,0.07103,0.06917,0.015,0.023,,,0.19263419999999998,0.07678343,0.07477276999999999,0.016215,0.024863,
Aargau,2024,C3,appartement,Cheapest product,0.31420000000000003,0.10529999999999999,0.172,0.006500000000000001,0.023,,,0.3396502,0.11382929999999998,0.185932,0.007026500000000001,0.024863,
Zug,2023,H5,maison_individuelle,Cheapest product,0.22816,0.08441000000000001,0.12075,0.0,0.023,,,0.24664096,0.09124721000000001,0.13053075,0.0,0.024863,
Thurgau,2022,C3,appartement,Cheapest product,0.17384,0.08079,0.0692,0.0013,0.023,,,0.18792103999999998,0.08733399,0.07480519999999999,0.0014053,0.024863,
Jura,2022,H4,maison_individuelle,Cheapest product,0.242,0.11313000000000001,0.09086999999999999,0.015,0.023,,,0.261602,0.12229353000000001,0.09823046999999999,0.016215,0.024863,
Uri,2025,H5,maison_individuelle,Cheapest product,0.26333,0.10164,0.12868000000000002,0.01,0.023,,,0.28465973,0.10987283999999999,0.13910308000000002,0.01081,0.024863,
Zurich,2022,C3,appartement,Cheapest product,0.19332999999999997,0.09877000000000001,0.06707,0.0028000000000000004,0.023,,,0.20898972999999996,0.10677037,0.07250267,0.0030268000000000005,0.024863,
Aargau,2022,C3,appartement,Cheapest product,0.17825,0.08255000000000001,0.06779,0.0049,0.023,,,0.19268824999999998,0.08923655000000001,0.07328099,0.005296899999999999,0.024863,
Valais,2021,H5,maison_individuelle,Cheapest product,0.16094,0.0662,0.0638,0.007940000000000001,0.023,,,0.17397614,0.07156219999999999,0.0689678,0.008583140000000001,0.024863,
Schwyz,2026,H2,maison_individuelle,Cheapest product,0.2439,0.0873,0.0898,0.0006,0.023,0.0432,108.0,0.2636559,0.0943713,0.0970738,0.0006485999999999999,0.024863,0.0466992
St Gallen,2019,H4,maison_individuelle,Cheapest product,0.18993,0.08593,0.06614,0.0087,0.023,,,0.20531433,0.09289033000000001,0.07149734,0.009404699999999998,0.024863,
Appenzell Innerrhoden,2020,C2,appartement,Cheapest product,0.17135,0.06849,0.07986,0.0,0.023,,,0.18522935,0.07403768999999999,0.08632866,0.0,0.024863,
Neuchâtel,2025,C3,appartement,Cheapest product,0.27027,0.12664,0.10461999999999999,0.016,0.023,,,0.29216187,0.13689784,0.11309421999999998,0.017296,0.024863,
St Gallen,2023,C4,appartement,Cheapest product,0.23429,0.07189,0.12207000000000001,0.01,0.023,,,0.25326749,0.07771309,0.13195767,0.01081,0.024863,
Neuchâtel,2022,C3,appartement,Cheapest product,0.2006,0.066125,0.08063000000000001,0.016,0.023,,,0.2168486,0.071481125,0.08716103,0.017296,0.024863,
St Gallen,2024,C4,appartement,Cheapest product,0.27510999999999997,0.09721,0.159,0.006,0.023,,,0.29739390999999993,0.10508401,0.171879,0.006486,0.024863,
Vaud,2019,C3,appartement,Cheapest product,0.17825,0.07071,0.07304000000000001,0.009000000000000001,0.023,,,0.19268824999999998,0.07643750999999999,0.07895624000000001,0.009729000000000002,0.024863,
Neuchâtel,2020,C3,appartement,Cheapest product,0.20961,0.06541000000000001,0.1052,0.016,0.023,,,0.22658841,0.07070821000000001,0.1137212,0.017296,0.024863,
Aargau,2023,C3,appartement,Cheapest product,0.22776,0.08915,0.11053,0.00508,0.023,,,0.24620856,0.09637114999999999,0.11948293,0.00549148,0.024863,
Valais,2018,H6,maison_individuelle,Cheapest product,0.1201,0.05128,0.04632,0.0054,0.023,,,0.1298281,0.05543368,0.05007192,0.0058374,0.024863,
