station_abbr;station_name;year;n_hours;t_mean_annual_c;t_min_annual_c;t_max_annual_c;t_mean_summer_c;t_p95_summer_c;t_p99_summer_c;cdh_24;cdh_26;hours_above_24;hours_above_26;hours_above_28;hours_above_30;night_hours_below_18;hot_nights_min_gt_18;night_hours_below_20;hot_nights_min_gt_20
ANT;Andermatt;2013;1032;-5.272;-20.2;8.3;;;;0.0;0.0;0;0;0;0;0;0;0;0
ANT;Andermatt;2014;8760;5.04;-18.9;25.6;11.454;18.7;23.4;11.4;0.0;16;0;0;0;820;0;828;0
ANT;Andermatt;2015;8760;4.536;-19.8;28.6;13.868;23.465;25.693;109.2;11.8;84;13;3;0;820;0;828;0
ANT;Andermatt;2016;8784;4.27;-20.6;26.2;12.24;21.1;23.8;14.4;0.2;17;1;0;0;828;0;828;0
ANT;Andermatt;2017;8760;4.15;-22.4;26.6;13.456;22.265;24.093;22.3;0.6;23;1;0;0;823;0;828;0
ANT;Andermatt;2018;8760;5.129;-24.1;26.7;13.484;21.9;24.4;30.0;1.0;31;2;0;0;827;0;828;0
ANT;Andermatt;2019;8760;4.617;-24.0;28.3;13.862;22.4;26.893;135.4;37.1;67;35;4;0;821;0;828;0
ANT;Andermatt;2020;8784;5.133;-15.9;25.8;12.481;20.965;23.8;15.8;0.0;18;0;0;0;826;0;828;0
ANT;Andermatt;2021;8760;3.726;-23.0;26.4;12.456;20.3;23.393;19.8;0.4;17;1;0;0;825;0;828;0
ANT;Andermatt;2022;8760;5.392;-22.9;26.9;14.236;22.1;25.093;53.5;3.7;44;10;0;0;810;0;827;0
ANT;Andermatt;2023;8760;5.35;-21.8;28.1;13.633;22.6;25.1;72.1;10.3;60;8;1;0;817;0;828;0
ANT;Andermatt;2024;8784;5.272;-20.8;26.8;14.019;22.2;24.786;45.9;3.1;37;7;0;0;827;0;828;0
BAS;Bale;1981;8760;9.676;-10.4;30.2;17.139;25.8;28.486;456.6;163.0;195;99;32;3;737;2;817;0
BAS;Bale;1982;8760;10.338;-7.2;31.7;18.385;26.4;29.586;636.6;238.4;268;129;49;13;700;4;797;0
BAS;Bale;1983;8760;10.317;-7.8;37.7;19.878;29.065;32.5;1619.1;845.8;484;287;164;75;630;7;749;2
BAS;Bale;1984;8784;9.493;-6.7;34.5;17.542;26.3;31.2;688.9;348.4;227;119;62;37;765;1;812;0
