station_abbr;station_name;climate_class;cdh_26_ref;hours_above_26_ref;hours_above_28_ref;night_hours_below_20_ref;hot_nights_min_gt_20_ref;f_climat_cdh26_vs_ref;f_night_potential_vs_ref;f_hot_nights_vs_ref
ANT;Andermatt;froid;6.82;7.8;0.8;827.9;0.0;0.2;1.485;0.3
BAS;Bale;tres_chaud;1046.87;351.4;202.5;676.5;4.7;1.678;1.214;0.359
MAG;Bellinzone;tres_chaud;1376.48;518.7;291.1;599.6;7.7;2.206;1.076;0.588
BER;Bern;chaud;617.49;239.7;124.7;763.3;0.4;0.99;1.369;0.3
GRE;Bienne;chaud;799.03;293.9;158.6;761.7;0.4;1.281;1.367;0.3
CHU;Coire;chaud;865.12;293.1;173.5;718.1;3.0;1.386;1.288;0.3
DEM;Delémont;chaud;809.22;274.1;155.7;788.2;0.1;1.297;1.414;0.3
ENG;Engelberg;tempere;91.22;55.3;17.7;819.6;0.0;0.2;1.47;0.3
GRA;Fribourg;chaud;514.72;213.3;104.3;759.1;0.5;0.825;1.362;0.3
GVE;Geneve;tres_chaud;1208.06;390.7;227.7;675.8;3.6;1.936;1.212;0.3
INT;Interlaken;chaud;484.15;198.9;96.4;769.8;0.4;0.776;1.381;0.3
PUY;Lausanne;chaud;623.99;275.5;123.6;557.4;13.1;1.0;1.0;1.0
OTL;Locarno;tres_chaud;1176.92;484.4;242.0;424.0;24.3;1.886;0.761;1.855
LUZ;Lucerne;chaud;631.5;251.8;126.9;712.4;3.0;1.012;1.278;0.3
LUG;Lugano;tres_chaud;1097.34;497.9;227.6;404.5;26.5;1.759;0.726;2.023
NEU;Neuchatel;chaud;685.13;279.9;133.6;621.4;7.0;1.098;1.115;0.534
STG;Saint_Galles;tempere;152.87;90.0;30.7;712.8;4.3;0.245;1.279;0.328
SHA;Schaffhouse;chaud;810.66;286.8;159.9;742.9;1.5;1.299;1.333;0.3
SIO;Sion;tres_chaud;1414.48;451.2;270.0;697.3;1.8;2.267;1.251;0.3
THU;Thoune;chaud;597.37;233.6;121.6;793.5;0.1;0.957;1.424;0.3
ZER;Zermatt;froid;29.33;24.7;4.2;825.0;0.0;0.2;1.48;0.3
SMA;Zurich;chaud;592.88;231.6;119.1;704.2;4.2;0.95;1.263;0.321
