Canton,Consumption profiles of typical households,Period,Product,Total excl. VAT (Rp./kWH),Grid usage (Rp./kWH),Energy supply costs (Rp./kWH),Community fees (Rp./kWH),Feed-in remuneration at cost (KEV) (Rp./kWH),Metering rate (Rp./kWH),Tariff for metering in CHF per year
St Gallen,C4,2021,Cheapest product,16.154,6.393,6.983,0.6,2.3,-,-
Basel Landschaft,H6,2018,Cheapest product,16.606,6.595,7.111,0.6,2.3,-,-
Vaud,C3,2026,Cheapest product,31.262,12.018,13.257,3.624,2.3,0.062,93.36
Obwalden,H5,2026,Cheapest product,25.103,11.474,8.984,1.4,2.3,0.944,70.8
Thurgau,C4,2019,Cheapest product,15.6155,7.334,5.75,0.35,2.3,-,-
Bern,C2,2025,Cheapest product,24.21,11.26,9.65,1,2.3,-,-
Jura,H4,2019,Cheapest product,25.32,12.433,9.087,1.5,2.3,-,-
Valais,H5,2018,Cheapest product,14.14,6.72,5.5,0.68,2.3,-,-
Basel Stadt,H4,2018,Cheapest product,27.911,10.107,7.938,7.566,2.3,-,-
Glarus,H2,2025,Cheapest product,32.161,16.661,12.2,1,2.3,-,-
St Gallen,H4,2023,Cheapest product,26.769,9.833,13.84,1,2.3,-,-
Neuchâtel,H6,2026,Cheapest product,25.897,12.533,9.176,1.6,2.3,0.288,72
Aargau,C3,2018,Cheapest product,16.975,7.91,6.31,0.455,2.3,-,-
Lucerne,H5,2022,Cheapest product,18.031,7.374,7.617,0.74,2.3,-,-
Jura,H4,2018,Cheapest product,26.157,12.947,9.41,1.5,2.3,-,-
Vaud,C2,2021,Cheapest product,21.822,8.702,8,2.6,2.3,-,-
Valais,C3,2022,Cheapest product,17.489,6.48,7.929,0.78,2.3,-,-
Neuchâtel,H4,2023,Cheapest product,26.552,9.969,12.684,1.6,2.3,-,-
Obwalden,H5,2018,Cheapest product,19.129,9.331,6.099,1.4,2.3,-,-
Schwyz,H2,2020,Cheapest product,22.582,11.861,7.439,1.24,2.3,-,-
Vaud,C3,2024,Cheapest product,31.701,9.291,18.79,1.32,2.3,-,-
Schaffhausen,H5,2020,Cheapest product,18.669,9.793,6.576,0,2.3,-,-
Schwyz,C2,2022,Cheapest product,18.908,8.326,7.031,1.24,2.3,-,-
Bern,H4,2020,Cheapest product,24.555,12.353,9.087,1.5,2.3,-,-
Neuchâtel,C4,2021,Cheapest product,17.82,7.103,6.917,1.5,2.3,-,-
Aargau,C3,2024,Cheapest product,31.42,10.53,17.2,0.65,2.3,-,-
Zug,H5,2023,Cheapest product,22.816,8.441,12.075,0,2.3,-,-
Thurgau,C3,2022,Cheapest product,17.384,8.079,6.92,0.13,2.3,-,-
Jura,H4,2022,Cheapest product,24.2,11.313,9.087,1.5,2.3,-,-
Uri,H5,2025,Cheapest product,26.333,10.164,12.868,1,2.3,-,-
Zurich,C3,2022,Cheapest product,19.333,9.877,6.707,0.28,2.3,-,-
Aargau,C3,2022,Cheapest product,17.825,8.255,6.779,0.49,2.3,-,-
Valais,H5,2021,Cheapest product,16.094,6.62,6.38,0.794,2.3,-,-
Schwyz,H2,2026,Cheapest product,24.39,8.73,8.98,0.06,2.3,4.32,108
St Gallen,H4,2019,Cheapest product,18.993,8.593,6.614,0.87,2.3,-,-
Appenzell Innerrhoden,C2,2020,Cheapest product,17.135,6.849,7.986,0,2.3,-,-
Neuchâtel,C3,2025,Cheapest product,27.027,12.664,10.462,1.6,2.3,-,-
St Gallen,C4,2023,Cheapest product,23.429,7.189,12.207,1,2.3,-,-
Neuchâtel,C3,2022,Cheapest product,20.06,6.6125,8.063,1.6,2.3,-,-
St Gallen,C4,2024,Cheapest product,27.511,9.721,15.9,0.6,2.3,-,-
Vaud,C3,2019,Cheapest product,17.825,7.071,7.304,0.9,2.3,-,-
Neuchâtel,C3,2020,Cheapest product,20.961,6.541,10.52,1.6,2.3,-,-
Aargau,C3,2023,Cheapest product,22.776,8.915,11.053,0.508,2.3,-,-
Valais,H6,2018,Cheapest product,12.01,5.128,4.632,0.54,2.3,-,-
Glarus,C2,2024,Cheapest product,32.488,15.488,13.7,1,2.3,-,-
Zurich,H5,2025,Cheapest product,21.159,9.989,6.32,2.55,2.3,-,-
Thurgau,C3,2024,Cheapest product,29.289,11.348,14.2,0.25,2.3,-,-
Vaud,C3,2022,Cheapest product,21.054,7.96,8.223,2.57,2.3,-,-
Bern,H5,2019,Cheapest product,22.121,11.081,8.503,1.5,2.3,-,-
Obwalden,H5,2024,Cheapest product,27.562,11.694,12.168,1.4,2.3,-,-
Lucerne,H4,2023,Cheapest product,28.15,8.995,15.956,0.899,2.3,-,-
Vaud,C3,2018,Cheapest product,17.711,7.192,7.119,0.9,2.3,-,-
Appenzell Innerrhoden,C2,2022,Cheapest product,19.044,8.268,8.476,0,2.3,-,-
Schaffhausen,C3,2023,Cheapest product,21.789,10.329,9.16,0,2.3,-,-
Glarus,H4,2025,Cheapest product,31.101,15.601,12.2,1,2.3,-,-
Obwalden,C3,2026,Cheapest product,23.5,10.222,9.483,1.4,2.3,0.094,141.6
Zurich,C3,2023,Cheapest product,23.917,11.58,7.887,2.15,2.3,-,-
Aargau,C2,2019,Cheapest product,19.156,7.874,8.523,0.458,2.3,-,-
Appenzell Innerrhoden,H5,2023,Cheapest product,23.777,8.01,13.467,0,2.3,-,-
Thurgau,C3,2021,Cheapest product,16.7205,8.15,6.35,0.2,2.3,-,-
Thurgau,C3,2023,Cheapest product,22.04,9.29,9.7,0.2,2.3,-,-
Neuchâtel,H4,2021,Cheapest product,21.444,10.296,7.348,1.5,2.3,-,-
Valais,C3,2024,Cheapest product,24.776,10.132,11.543,0.804,2.3,-,-
Schaffhausen,C3,2019,Cheapest product,17.12,8.852,5.968,0,2.3,-,-
Neuchâtel,C2,2025,Cheapest product,26.314,12.764,9.65,1.6,2.3,-,-
St Gallen,H4,2018,Cheapest product,18.4,8.703,6.138,0.6,2.3,-,-
Bern,H4,2023,Cheapest product,24.9,11.613,9.087,1.5,2.3,-,-
Glarus,H4,2022,Cheapest product,22.166,11.975,7.59,0.3,2.3,-,-
Bern,H5,2018,Cheapest product,21.295,10.332,8.663,1.5,2.3,-,-
Zurich,C3,2025,Cheapest product,26.017,12.78,8.387,2.55,2.3,-,-
Fribourg,H4,2025,Cheapest product,27.542,10.992,14.25,0,2.3,-,-
Schwyz,H4,2020,Cheapest product,21.139,9.353,7.381,1.24,2.3,-,-
St Gallen,C2,2019,Cheapest product,19.3695,7.309,7.366,0.87,2.3,-,-
Schwyz,H4,2026,Cheapest product,22.466,8.73,8.976,0.06,2.3,2.4,108
Lucerne,H4,2026,Cheapest product,24.509,8.73,11.3,0.806,2.3,1.373,61.8
Appenzell Innerrhoden,C2,2019,Cheapest product,16.667,7.001,7.366,0,2.3,-,-
Zurich,C3,2024,Cheapest product,26.207,13.271,8.087,2.55,2.3,-,-
Solothurn,C3,2019,Cheapest product,19.62,8.597,8.513,1,2.3,-,-
Jura,H4,2021,Cheapest product,25.24,12.353,9.087,1.5,2.3,-,-
Vaud,H6,2021,Cheapest product,18.651,7.753,6.18,2.6,2.3,-,-
Zurich,C2,2026,Cheapest product,24.908,11.835,8.497,2,2.3,0.276,82.8
Thurgau,C3,2020,Cheapest product,17.324,8.86,6.45,0.31,2.3,-,-
Obwalden,C3,2024,Cheapest product,27.313,10.51,13.103,1.4,2.3,-,-
Jura,H4,2026,Cheapest product,26.896,11.253,9.887,1.7,2.3,1.756,79
Schwyz,H2,2021,Cheapest product,22.587,10.68,7.439,1.24,2.3,-,-
Neuchâtel,H4,2019,Cheapest product,21.924,9.833,7.827,1.5,2.3,-,-
Obwalden,C3,2019,Cheapest product,18.246,7.87,6.676,1.4,2.3,-,-
Valais,C3,2020,Cheapest product,16.026,5.84,7.186,0.7,2.3,-,-
Aargau,C4,2021,Cheapest product,16.637,7.019,6.906,0.412,2.3,-,-
Lucerne,C2,2021,Cheapest product,17.317,7.656,6.595,0.766,2.3,-,-
Schaffhausen,C3,2024,Cheapest product,27.38,13.37,11.71,0,2.3,-,-
Grisons,C2,2023,Cheapest product,23.46,8.56,10.6,0.95,2.3,-,-
Thurgau,C3,2025,Cheapest product,26.904,10.91,13.72,0.31,2.3,-,-
Glarus,H2,2023,Cheapest product,33.175,15.451,15.124,0.3,2.3,-,-
St Gallen,H4,2020,Cheapest product,19.453,8.473,7.23,0.6,2.3,-,-
Geneva,C3,2019,Cheapest product,16.675,7.071,7.304,0,2.3,-,-
Obwalden,C3,2021,Cheapest product,18.366,7.79,6.876,1.4,2.3,-,-
Neuchâtel,H4,2020,Cheapest product,22.357,9.469,8.988,1.6,2.3,-,-
Uri,H4,2024,Cheapest product,31.112,13.664,14.148,1,2.3,-,-
Neuchâtel,H4,2022,Cheapest product,22.633,11.385,8.2175,1.6,2.3,-,-
