OBJECTID;EGID;NO_AUTOR;CATEGORIE_BATPRO;NOMBAT;DESTINATION;NOMENCLATURE;NOMEN_CLASSE;NIVEAUX_HORSOL;NIVEAUX_SSOL;HAUTEUR;DATEDT;TYPE;GENRE;COMMUNE;SHAPE.AREA;SHAPE.LEN
82;295514878;DD 107704;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;2.4;20150325155419;Nouveau;Sous-sol;Vandoeuvres;118.67136794;60.2229957943105
83;1028086;DD 107704;Bâtiment;;Habitation un logement;1.1.1;Habitation;1;0;3.2;20150325155857;Transformation;Hors-sol;Vandoeuvres;53.004914915;45.8194432802126
84;295112444;DD 107736;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;;20160304095133;Transformation;Hors-sol;Chêne-Bougeries;138.22205324;51.0024422071028
85;295514900;APA 42129;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.9;20150331135823;Nouveau;Hors-sol;Vernier;19.9499242;18.3999723968974
86;295514909;DD 107759;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;1;0;3.21;20150401152413;Nouveau;Hors-sol;Vernier;42.70110306;31.0068160005607
87;295514949;DD 107265;Bâtiment;;Garage privé;5.2;Autre bâtiment;0;1;3;20150415170200;Nouveau;Sous-sol;Satigny;787.16671394;124.827009854979
88;295514958;DD 107821;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;3.4;20150420094835;Nouveau;Hors-sol;Cologny;12.55047821;14.2425368338713
89;295514970;DD 107756;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.08;20150421133851;Nouveau;Hors-sol;Corsier;75.225419355;34.7095058755313
90;295514971;DD 107756;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.08;20150421134145;Nouveau;Hors-sol;Corsier;75.94542336;34.9100279140663
91;295159953;DD 104267;Bâtiment;;Garage privé;5.2;Autre bâtiment;1;0;2.9;20170619173624;Nouveau;Hors-sol;Cologny;25.020988185;24.2680819573021
92;295113361;APA 28190;Bâtiment;;Ecole primaire;4.1.3;Equipement collectif;2;0;6.28999996;20140411101527;Nouveau;Hors-sol;Lancy;148.21590768;60.7274762621327
93;295139840;DD 109916;Bâtiment;;Hangar agricole;3.1.5;Activités;1;0;5.1;20170131105026;Nouveau;Hors-sol;Bardonnex;116.231170025;48.8001735023875
94;295160513;APA 34364;Bâtiment;;Garage;3.2.3;Activités;1;0;6.5;20110224111336;Nouveau;Hors-sol;Plan-les-Ouates;112.352675105;42.4005613913206
95;1032422;APA 34402;Bâtiment;;Habitation un logement;1.1.1;Habitation;1;0;5.5;20110304132801;Transformation;Hors-sol;Veyrier;194.7286291;68.9692558541014
96;295116637;DD 101559;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.5;20070917091335;Nouveau;Hors-sol;Corsier;132.71947292;47.182625550291
97;295512336;DD 106175;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.25;20210702103500;Nouveau;Sous-sol;Cologny;618.814501895;107.247280220651
98;295512340;APA 38545;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.4;20130819105232;Nouveau;Hors-sol;Versoix;17.745044305;17.8981744872855
99;295512363;APA 38573;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;1.73;20130823094223;Nouveau;Hors-sol;Pregny-Chambésy;7.0799323;10.6999416260254
100;295512395;APA 38607;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.8;20170116100951;Nouveau;Hors-sol;Plan-les-Ouates;10.383739645;12.922168193928
101;295030081;DD 106294;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;0;6.1;20130913141331;Transformation;Hors-sol;Hermance;227.130064265;68.31752676087
102;295512432;DD 106227;Bâtiment;;Installation de climatisation;4.10.11;Equipement collectif;0;3;11;20140429132207;Nouveau;Sous-sol;Plan-les-Ouates;325.927368665;93.7363894478783
103;295512439;APA 38642;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.5;20130912142623;Nouveau;Hors-sol;Meyrin;12.33023372;14.2719817454835
104;1024081;APA 38645;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;1;0;2.6;20130912153755;Transformation;Hors-sol;Pregny-Chambésy;108.1622917;42.7130243688002
105;295512483;APA 38718;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.8;20130927112703;Nouveau;Hors-sol;Plan-les-Ouates;17.80494488;17.1823064642295
106;295512539;APA 38787;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;2.9;20131009150851;Nouveau;Hors-sol;Collonge-Bellerive;17.091108375;17.2269196747838
107;295512583;APA 38814;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;3.32;20210702101324;Nouveau;Hors-sol;Vernier;19.27117701;18.6348316874688
108;3131619;DD 106327;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.87;20131017111431;Transformation;Hors-sol;Collonge-Bellerive;107.337827085;43.7789318395695
109;1004011;DD 108175;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;0;7.15;20150814090311;Transformation;Hors-sol;Céligny;63.640718705;33.0901271846021
110;1024343;DD 108174;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.77;20150814091347;Transformation;Hors-sol;Pregny-Chambésy;135.94247549;50.7564637783328
111;295114118;DD 101363;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;1;0;3.2;20070704132852;Nouveau;Hors-sol;Jussy;30.531797615;24.6962390446786
