EGID;VOLUME;SURFACE_TOTALE;SURFACE_PARTAGE;SURFACE_TOTALE_HS;DATE_LEVE;OBJECTID
295515551;59;59.08;0;54.11;20160301;1
295157782;570;277.94;71.37;245.47;20160301;2
1024241;651;240.54;0;185.27;20160301;3
295164097;81;52.26;13.22;37.15;20160301;4
295113032;4794;907.42;0;883.42;20160301;5
1024503;714;260.41;0;185.84;20160301;6
295516251;112;68.15;0;66.64;20160301;7
295132665;805;339.91;98.66;337.49;20160301;8
295171234;589;295.75;115.79;244.55;20160301;9
295120396;599;235.51;0;222.46;20160301;10
295104583;84;69.62;0;63.84;20160301;11
295152213;659;237.8;0;181.76;20160301;12
295085951;410.54;159.41;0;48.83;20050801;13
295085952;941.19;327.27;0;305.68;20050801;14
295086365;333.7;135.66;0;128.27;20050801;15
295137926;375;161.64;93.63;160.39;20160301;16
295171354;16514;1985.68;0;1751.21;20160301;17
295157779;462;227.7;52.94;218.64;20160301;18
295512808;267;151.91;0;104.14;20160301;19
2041287;425.12;217.05;0;207.49;20050801;20
2041401;767.25;191.01;0;181.19;20050801;21
2375311;765.48;317.35;21.04;211.4;20050801;22
295162834;262;150.01;0;96.14;20160301;23
295514305;8372;872.41;0;821.7;20160301;24
295169898;492;251.66;55.14;237.24;20160301;25
295510509;49;48.52;0;40.81;20160301;26
295516523;261;138.04;0;137.37;20160301;27
295169533;52;53.4;0;42.46;20160301;28
295164621;550;230.78;51.91;224.97;20160301;29
1020717;530.93;270.71;40.18;221.03;20050801;30
1020718;531.76;266.27;80.62;237.68;20050801;31
295080484;372;117.19;0;116.05;20160301;32
295113725;290;108.78;0;89.06;20160301;33
295168433;109;65.77;0;54.33;20160301;34
2041088;2966.43;1927.53;129.04;1886.27;20050801;35
295513337;21285;3186.51;0;3071.96;20160301;36
295149693;502;219.53;65.72;202.44;20160301;37
295159137;6057;1080.83;0;811.98;20160301;38
295086576;11320.44;1903.65;0;1519.56;20050801;39
295513063;372;179.22;38.75;175.52;20160301;40
295163038;587;246.97;16.3;234.88;20160301;41
295512325;55;57.3;0;55.98;20160301;42
295169753;16;22.72;0;22.72;20160301;43
295086577;1279.48;283.79;10.76;266.08;20050801;44
295173813;620;279.33;0;271.15;20160301;45
295143894;636;264.05;61.19;259.1;20160301;46
2376318;589.98;227.06;0;214.19;20050801;93
295172876;640;336.64;153.37;279.27;20160301;94
1001664;472;238.5;0;224.83;20160301;95
295163421;29;34.76;0;34.31;20160301;96
1006556;733;257.99;0;248.87;20160301;97
295140353;150;75.53;0;74.25;20160301;98
295513158;30;36.61;0;36.28;20160301;99
1020719;530.8;266.71;52.19;233.36;20050801;100
1020720;1301.59;382.21;0;291.78;20050801;101
1020721;870.59;281.92;14.19;198.43;20050801;102
1004010;406;216.4;0;210.14;20160301;103
295514081;26;32.54;0;31.35;20160301;104
295165533;63;54.55;20.6;50.48;20160301;105
295144730;782;324.1;0;237.45;20160301;106
295144112;2931;587.65;0;576.82;20160301;107
2041093;753.16;325.89;181.4;312.3;20050801;108
1020488;440.38;239.56;58.03;233.76;20050801;109
1020489;2102.29;548.77;123.99;526.56;20050801;110
1024299;790;297.81;42.12;212.33;20160301;111
295076787;41.01;43.49;10.22;41.59;20050801;112
295163674;587;217.67;0;204.13;20160301;113
295152454;48;47.81;15.34;45.78;20160301;114
295100701;352;178.85;0;175.42;20160301;115
295512810;57;43.79;0;39.57;20160301;116
295127973;5703;1389.26;134.08;1188.33;20160301;117
295010454;499;239.75;0;237.67;20160301;118
295076788;42.38;44.85;10.47;41.84;20050801;119
2376319;611.93;228.57;0;220.63;20050801;120
295080991;1228;373.48;0;370.1;20160301;121
295075106;75;51.09;0;47.99;20160301;122
295164622;633;270;99.24;226.58;20160301;123
1024199;621;210.02;0;193.49;20160301;124
1020925;739.96;278.49;0;229.42;20050801;125
1020926;879.68;286.49;0;232.53;20050801;126
1020928;587.29;242.76;0;207.16;20050801;127
295157781;419;214.43;47.27;200.88;20160301;128
295163406;85;102.8;0;102.04;20160301;129
295514555;32;35.72;0;34.33;20160301;130
295079405;89;62.16;0;57.25;20160301;131
1016854;796;332.05;0;285.32;20160301;132
1017366;2992;696.39;0;535.82;20160301;47
295169897;493;251.78;55.14;245.57;20160301;48
295136025;674;334.81;24.03;306.33;20160301;49
1017289;247;172.96;0;169.51;20160301;50
295513530;48;47.46;0;46.98;20160301;51
295147956;506;235.1;63.86;229.05;20160301;52
295159933;53;48.45;0;44.28;20160301;53
295514172;139;105.65;0;99.87;20160301;54
295164623;631;269.76;97.16;224.58;20160301;55
295515726;36;46.78;0;46.78;20160301;56
295510587;53;53.22;0;38.21;20160301;57
1017001;859;314.72;35.82;217.6;20160301;58
295513396;34;41.14;0;39.33;20160301;59
295514510;36;34.76;11.1;31.76;20160301;60
295160404;459;167.14;0;156.52;20160301;61
295515730;33;43.56;0;41.12;20160301;62
