postcode;e;n;canton;locality
1000;2542327.333;1155920.667;VD;Lausanne 25
1003;2538093.0;1152460.0;VD;Lausanne
1004;2537087.0;1153329.0;VD;Lausanne
1005;2538928.0;1152488.0;VD;Lausanne
1006;2538229.0;1151602.0;VD;Lausanne
1007;2536686.0;1152179.0;VD;Lausanne
1008;2535662.0;1154994.5;VD;Jouxtens-Mézery
1009;2540300.0;1151541.0;VD;Pully
1010;2539688.0;1154318.0;VD;Lausanne
1011;2539025.0;1152991.0;VD;Lausanne
1012;2539851.0;1153097.0;VD;Lausanne
1015;2533306.496;1152431.475;VD;Lausanne
1018;2537927.0;1154077.0;VD;Lausanne
1020;2534856.0;1154420.0;VD;Renens VD
1022;2533762.0;1153767.0;VD;Chavannes-près-Renens
1023;2533972.888;1156164.168;VD;Crissier
1024;2532574.0;1153012.0;VD;Ecublens VD
1025;2532758.0;1151657.0;VD;St-Sulpice VD
1026;2531113.0;1153373.0;VD;Denges
1027;2529446.0;1153217.0;VD;Lonay
1028;2530177.0;1152033.0;VD;Préverenges
1029;2532909.0;1157711.0;VD;Villars-Ste-Croix
1030;2532240.0;1155985.0;VD;Bussigny
1031;2532719.039;1158763.524;VD;Mex VD
1032;2536105.147;1157359.121;VD;Romanel-sur-Lausanne
1033;2536123.251;1159623.482;VD;Cheseaux-sur-Lausanne
1034;2534551.0;1161689.0;VD;Boussens
1035;2532895.0;1161782.0;VD;Bournens
1036;2533169.0;1160471.0;VD;Sullens
1037;2536744.0;1161356.0;VD;Etagnières
1038;2544136.361;1171377.745;VD;Bercher
1040;2537729.667;1166212.333;VD;Echallens
1041;2542382.0;1165586.333;VD;Bottens
1042;2535707.333;1163512.333;VD;Assens
1043;2541330.0;1167451.0;VD;Sugnens
1044;2542163.0;1169575.0;VD;Fey
1045;2545365.174;1173543.884;VD;Ogens
1046;2543085.0;1171685.0;VD;Rueyres
1047;2543057.0;1173936.0;VD;Oppens
1052;2538333.0;1156165.0;VD;Le Mont-sur-Lausanne
1053;2539007.263;1160261.292;VD;Bretigny-sur-Morrens
1054;2537829.0;1160285.0;VD;Morrens VD
1055;2542000.0;1161377.0;VD;Froideville
1058;2543851.0;1164143.0;VD;Villars-Tiercelin
1059;2545668.298;1164806.889;VD;Peney-le-Jorat
1061;2545655.0;1166366.0;VD;Villars-Mendraz
1062;2546670.0;1167383.0;VD;Sottens
1063;2545716.63;1168811.472;VD;Boulens
1066;2540896.0;1155643.0;VD;Epalinges
1068;2542567.0;1154200.0;VD;Les Monts-de-Pully
1070;2549212.943;1149848.683;VD;Puidoux
1071;2549737.136;1147631.943;VD;St-Saphorin (Lavaux)
1072;2548185.0;1154072.0;VD;Forel (Lavaux)
1073;2546012.5;1155470.0;VD;Mollie-Margot
1076;2549997.0;1159857.0;VD;Ferlens VD
1077;2549622.0;1158204.0;VD;Servion
1078;2550009.0;1156895.0;VD;Essertes
1080;2547539.577;1158240.529;VD;Les Cullayes
1081;2546360.0;1159076.0;VD;Montpreveyres
1082;2546390.0;1161926.0;VD;Corcelles-le-Jorat
1083;2548859.0;1160593.0;VD;Mézières VD
1084;2549019.211;1161555.345;VD;Carrouge VD
1085;2550543.754;1163659.209;VD;Vulliens
1088;2547514.0;1162508.0;VD;Ropraz
1090;2543278.008;1152004.21;VD;La Croix (Lutry)
1091;2544890.115;1150045.182;VD;Chenaux
1092;2541921.062;1152584.718;VD;Belmont-sur-Lausanne
1093;2542213.0;1151716.0;VD;La Conversion
1094;2541238.0;1150949.0;VD;Paudex
1095;2542386.881;1150776.35;VD;Lutry
1096;2544775.599;1149190.301;VD;Villette (Lavaux)
1097;2546160.0;1149536.0;VD;Riex
1098;2546947.776;1149168.044;VD;Epesses
1110;2527637.0;1151777.0;VD;Morges
1112;2527850.0;1153395.0;VD;Echichens
1113;2527183.0;1155510.0;VD;St-Saphorin-sur-Morges
1114;2525950.0;1156588.0;VD;Colombier VD
1115;2526774.0;1158581.0;VD;Vullierens
1116;2524559.0;1158351.0;VD;Cottens VD
1117;2525345.0;1160511.0;VD;Grancy
1121;2529334.0;1155359.0;VD;Bremblens
1122;2528752.0;1156455.0;VD;Romanel-sur-Morges
1123;2528963.0;1157770.0;VD;Aclens
1124;2528715.0;1159688.0;VD;Gollion
1125;2526459.0;1153458.0;VD;Monnaz
1126;2525213.0;1154282.0;VD;Vaux-sur-Morges
1127;2524148.0;1155545.0;VD;Clarmont
1128;2523254.0;1154939.0;VD;Reverolle
1131;2526190.0;1150649.0;VD;Tolochenaz
1132;2525146.0;1150937.0;VD;Lully VD
1134;2525971.5;1152746.0;VD;Chigny
1135;2524516.0;1152347.0;VD;Denens
1136;2523575.0;1153651.0;VD;Bussy-Chardonney
1141;2523387.0;1158709.0;VD;Sévery
1142;2522491.0;1159273.0;VD;Pampigny
1143;2522745.0;1156290.0;VD;Apples
1144;2518397.0;1156370.0;VD;Ballens
1145;2515350.769;1154450.438;VD;Bière
1146;2517501.0;1158996.0;VD;Mollens VD
1147;2518648.0;1161534.0;VD;Montricher
1148;2522344.967;1164725.67;VD;Cuarnens
1149;2515552.407;1157040.703;VD;Berolle
1162;2524261.605;1148292.416;VD;St-Prex
1163;2521588.0;1148633.0;VD;Etoy
1164;2521686.0;1147005.0;VD;Buchillon
1165;2519802.0;1147080.0;VD;Allaman
1166;2517272.255;1146841.562;VD;Perroy
1167;2524111.0;1150616.0;VD;Lussy-sur-Morges
1168;2522568.0;1151525.0;VD;Villars-sous-Yens
1169;2521792.0;1152617.0;VD;Yens
1170;2519486.359;1149657.529;VD;Aubonne
1172;2516766.523;1148232.806;VD;Bougy-Villars
1173;2518071.0;1148251.0;VD;Féchy
1174;2517092.5;1149941.0;VD;Montherod
1175;2520602.0;1150574.0;VD;Lavigny
1176;2519284.0;1151284.0;VD;St-Livres
1180;2514432.356;1146316.145;VD;Tartegnin
1182;2512343.0;1145814.0;VD;Gilly
1183;2511692.842;1145204.061;VD;Bursins
1184;2510657.5;1144426.0;VD;Luins
1185;2515567.824;1147006.457;VD;Mont-sur-Rolle
1186;2513859.182;1149484.823;VD;Essertines-sur-Rolle
1187;2513081.0;1150243.0;VD;St-Oyens
1188;2511455.0;1151918.0;VD;Gimel
1189;2514917.0;1152052.0;VD;Saubraz
1195;2512726.288;1143316.546;VD;Dully
1196;2510180.0;1141762.0;VD;Gland
1197;2508443.0;1139019.0;VD;Prangins
1200;2500330;1116432;GE;Genève
1201;2500082.0;1118421.0;GE;Genève
1202;2499543.597;1119182.1;GE;Genève
1203;2498494.0;1118267.0;GE;Genève
1204;2500269.0;1117566.0;GE;Genève
1205;2499933.0;1116848.0;GE;Genève
1206;2500983.0;1116372.0;GE;Genève
1207;2501311.0;1117661.0;GE;Genève
1208;2501848.0;1117098.0;GE;Genève
1209;2498548.029;1119756.616;GE;Genève
1212;2498049.371;1114973.513;GE;Grand-Lancy
1213;2497421.149;1115950.849;GE;Onex
1214;2495097.606;1118874.009;GE;Vernier
1215;2497171.636;1120819.435;GE;Genève
1216;2497358.309;1120028.757;GE;Cointrin
1217;2494971.0;1120783.0;GE;Meyrin
1218;2498179.969;1120666.477;GE;Le Grand-Saconnex
1219;2496887.667;1118001.0;GE;Aïre
1220;2497408.0;1119681.0;GE;Les Avanchets
1222;2504679.0;1121901.0;GE;Vésenaz
1223;2503444.0;1119295.0;GE;Cologny
1224;2503289.0;1117258.0;GE;Chêne-Bougeries
1225;2504227.0;1116976.0;GE;Chêne-Bourg
1226;2504960.0;1116794.0;GE;Thônex
1227;2499565.766;1115901.611;GE;Carouge GE
1228;2498075.171;1113782.706;GE;Plan-les-Ouates
1231;2502515.0;1115895.0;GE;Conches
1232;2495529.856;1114774.017;GE;Confignon
1233;2494459.0;1114339.0;GE;Bernex
1234;2501098.0;1114192.0;GE;Vessy
1236;2490649.629;1114567.802;GE;Cartigny
1237;2488606.304;1114032.45;GE;Avully
1239;2498549.0;1125360.0;GE;Collex
1241;2506861.0;1118301.0;GE;Puplinge
1242;2491959.0;1119118.0;GE;Satigny
1243;2508674.0;1118930.0;GE;Presinge
1244;2506128.0;1120034.0;GE;Choulex
1245;2504738.0;1123676.0;GE;Collonge-Bellerive
1246;2506152.0;1124283.0;GE;Corsier GE
1247;2506637.0;1126003.0;GE;Anières
1248;2507967.0;1128300.0;GE;Hermance
1251;2508863.0;1122976.0;GE;Gy
1252;2506948.0;1122135.0;GE;Meinier
1253;2504641.0;1118994.0;GE;Vandoeuvres
1254;2509290.411;1121001.063;GE;Jussy
1255;2502670.0;1113641.0;GE;Veyrier
1256;2500180.0;1113401.0;GE;Troinex
1257;2498299.69;1111524.233;GE;La Croix-de-Rozon
1258;2495894.798;1112531.549;GE;Perly
1260;2507197.114;1137798.107;VD;Nyon
1261;2508513.667;1149122.0;VD;Le Vaud
1262;2505237.0;1137339.0;VD;Eysins
1263;2502073.0;1136643.0;VD;Crassier
1264;2501406.333;1144922.515;VD;St-Cergue
1265;2495349.0;1146612.0;VD;La Cure
1266;2507498.0;1140604.0;VD;Duillier
1267;2508079.0;1142381.5;VD;Coinsins
1268;2508955.531;1145436.157;VD;Begnins
1269;2507114.0;1146961.0;VD;Bassins
1270;2504988.0;1141352.0;VD;Trélex
1271;2504817.0;1142891.0;VD;Givrins
1272;2505946.74;1143613.204;VD;Genolier
1273;2505577.0;1145713.0;VD;Arzier-Le Muids
1274;2504355.0;1138661.5;VD;Grens
1275;2502669.158;1139555.202;VD;Chéserex
1276;2502973.657;1140770.507;VD;Gingins
1277;2503522.5;1137049.0;VD;Arnex-sur-Nyon
1278;2500962.0;1137764.0;VD;La Rippe
1279;2501901.0;1133716.5;VD;Bogis-Bossey
1281;2490121.919;1116305.794;GE;Russin
1283;2488853.0;1116027.5;GE;Dardagny
1284;2486795.0;1111950.0;GE;Chancy
1285;2489150.274;1111834.263;GE;Athenaz (Avusy)
1286;2492131.447;1111107.813;GE;Soral
1287;2491677.0;1112560.0;GE;Laconnex
1288;2492271.0;1116281.0;GE;Aire-la-Ville
1290;2500425.169;1128398.992;VD;Chavannes-des-Bois
1291;2502787.0;1130825.0;VD;Commugny
1292;2499880.372;1122229.487;GE;Chambésy
1293;2500324.0;1123480.0;GE;Bellevue
1294;2500761.0;1124525.0;GE;Genthod
1295;2502609.0;1129145.0;VD;Mies
1296;2503803.986;1130785.523;VD;Coppet
1297;2504118.15;1132102.673;VD;Founex
1298;2504574.0;1133915.0;GE;Céligny
1299;2505526.0;1135150.0;VD;Crans VD
1302;2530946.0;1158956.0;VD;Vufflens-la-Ville
1303;2531039.0;1161093.0;VD;Penthaz
1304;2528095.25;1162717.0;VD;Allens
1305;2530061.0;1162551.0;VD;Penthalaz
1306;2531870.445;1163687.042;VD;Daillens
1307;2530161.0;1164998.0;VD;Lussery-Villars
1308;2526052.0;1163256.0;VD;La Chaux (Cossonay)
1312;2530651.0;1167123.0;VD;Eclépens
1313;2527000.0;1167926.0;VD;Ferreyres
1315;2528910.0;1167876.0;VD;La Sarraz
1316;2526312.482;1166142.814;VD;Chevilly
1317;2530180.0;1168923.0;VD;Orny
1318;2528975.0;1168854.0;VD;Pompaples
1321;2529645.0;1171762.0;VD;Arnex-sur-Orbe
1322;2526442.0;1171898.0;VD;Croy
1323;2525487.0;1171909.0;VD;Romainmôtier
1324;2523999.0;1173131.0;VD;Premier
1325;2519532.371;1171231.877;VD;Vaulion
1326;2524237.0;1171485.0;VD;Juriens
1329;2526162.0;1174000.0;VD;Bretonnières
1337;2519160.0;1174130.0;VD;Vallorbe
1338;2521669.0;1175980.0;VD;Ballaigues
1341;2508120.0;1161869.0;VD;L'Orient
1342;2515671.202;1169298.05;VD;Le Pont
1343;2514022.0;1169074.0;VD;Les Charbonnières
1344;2514339.0;1167097.0;VD;L'Abbaye
