canton,building_type,scenario,year,price_ttc_chf_kwh
Aargau,appartement,neutral,2026,0.25571055
Aargau,appartement,neutral,2027,0.26467177964894995
Aargau,appartement,neutral,2028,0.2739470504542824
Aargau,appartement,neutral,2029,0.2835473678083114
Aargau,appartement,neutral,2030,0.29348412278101615
Aargau,appartement,neutral,2031,0.30376910563589365
Aargau,appartement,neutral,2032,0.31441451981946716
Aargau,appartement,neutral,2033,0.32543299644104795
Aargau,appartement,neutral,2034,0.336837609259933
Aargau,appartement,neutral,2035,0.3486418901978197
Aargau,appartement,neutral,2036,0.36085984539484484
Aargau,appartement,neutral,2037,0.3735059718282977
Aargau,appartement,neutral,2038,0.386595274513727
Aargau,appartement,neutral,2039,0.4001432843088502
Aargau,appartement,neutral,2040,0.41416607634139124
Aargau,appartement,neutral,2041,0.42868028908271044
Aargau,appartement,neutral,2042,0.44370314408985984
Aargau,appartement,neutral,2043,0.45925246643948664
Aargau,appartement,neutral,2044,0.47534670587783173
Aargau,appartement,neutral,2045,0.49200495871191746
Aargau,appartement,neutral,2046,0.5092469904678996
Aargau,appartement,neutral,2047,0.527093259343468
Aargau,appartement,neutral,2048,0.5455649404821239
Aargau,appartement,neutral,2049,0.564683951098135
Aargau,appartement,neutral,2050,0.5844729764819794
Aargau,appartement,neutral,2051,0.6049554969171367
Appenzell Ausserrhoden,appartement,neutral,2026,0.2416791699999999
Appenzell Ausserrhoden,appartement,neutral,2027,0.25014867797977475
Appenzell Ausserrhoden,appartement,neutral,2028,0.2589149950118956
Appenzell Ausserrhoden,appartement,neutral,2029,0.26798852259946804
Appenzell Ausserrhoden,appartement,neutral,2030,0.27738002676031176
Appenzell Ausserrhoden,appartement,neutral,2031,0.2871006508011698
Appenzell Ausserrhoden,appartement,neutral,2032,0.2971619285395825
Appenzell Ausserrhoden,appartement,neutral,2033,0.3075757979891146
Appenzell Ausserrhoden,appartement,neutral,2034,0.31835461552417327
Appenzell Ausserrhoden,appartement,neutral,2035,0.3295111705412239
Appenzell Ausserrhoden,appartement,neutral,2036,0.3410587006338001
Appenzell Ausserrhoden,appartement,neutral,2037,0.35301090729931295
Appenzell Ausserrhoden,appartement,neutral,2038,0.36538197219629637
Appenzell Ausserrhoden,appartement,neutral,2039,0.3781865739713786
Appenzell Ausserrhoden,appartement,neutral,2040,0.39143990567594505
Appenzell Ausserrhoden,appartement,neutral,2041,0.40515769279315805
Appenzell Ausserrhoden,appartement,neutral,2042,0.4193562118967234
Appenzell Ausserrhoden,appartement,neutral,2043,0.43405230996354255
Appenzell Ausserrhoden,appartement,neutral,2044,0.4492634243631655
Appenzell Ausserrhoden,appartement,neutral,2045,0.46500760354776305
Appenzell Ausserrhoden,appartement,neutral,2046,0.48130352846716656
Appenzell Ausserrhoden,appartement,neutral,2047,0.49817053473438627
Appenzell Ausserrhoden,appartement,neutral,2048,0.515628635567907
Appenzell Ausserrhoden,appartement,neutral,2049,0.5336985455379835
Appenzell Ausserrhoden,appartement,neutral,2050,0.5524017051451112
Appenzell Ausserrhoden,appartement,neutral,2051,0.571760306259836
Appenzell Innerrhoden,appartement,neutral,2026,0.251164134134492
Appenzell Innerrhoden,appartement,neutral,2027,0.25996603724548545
Appenzell Innerrhoden,appartement,neutral,2028,0.2690763980056663
Appenzell Innerrhoden,appartement,neutral,2029,0.2785060261365394
Appenzell Innerrhoden,appartement,neutral,2030,0.28826611018010345
Appenzell Innerrhoden,appartement,neutral,2031,0.2983682307743981
Appenzell Innerrhoden,appartement,neutral,2032,0.308824374394285
Appenzell Innerrhoden,appartement,neutral,2033,0.3196469475737666
Appenzell Innerrhoden,appartement,neutral,2034,0.3308487916267178
Appenzell Innerrhoden,appartement,neutral,2035,0.34244319788349764
Appenzell Innerrhoden,appartement,neutral,2036,0.3544439234615187
Appenzell Innerrhoden,appartement,neutral,2037,0.3668652075884877
Appenzell Innerrhoden,appartement,neutral,2038,0.3797217884976841
Appenzell Innerrhoden,appartement,neutral,2039,0.3930289209153249
Appenzell Innerrhoden,appartement,neutral,2040,0.4068023941607628
Appenzell Innerrhoden,appartement,neutral,2041,0.42105855088099686
Appenzell Innerrhoden,appartement,neutral,2042,0.4358143064417224
Appenzell Innerrhoden,appartement,neutral,2043,0.4510871689979295
Appenzell Innerrhoden,appartement,neutral,2044,0.466895260267864
Appenzell Innerrhoden,appartement,neutral,2045,0.48325733703500007
Appenzell Innerrhoden,appartement,neutral,2046,0.5001928134035373
Appenzell Innerrhoden,appartement,neutral,2047,0.5177217838338284
Appenzell Innerrhoden,appartement,neutral,2048,0.5358650469850709
Appenzell Innerrhoden,appartement,neutral,2049,0.554644130393552
Appenzell Innerrhoden,appartement,neutral,2050,0.5740813160157281
Appenzell Innerrhoden,appartement,neutral,2051,0.5941996666664476
Basel Landschaft,appartement,neutral,2026,0.27835854314294944
Basel Landschaft,appartement,neutral,2027,0.2881134587295418
Basel Landschaft,appartement,neutral,2028,0.29821022974125283
Basel Landschaft,appartement,neutral,2029,0.30866083630550095
Basel Landschaft,appartement,neutral,2030,0.31947767838640273
Basel Landschaft,appartement,neutral,2031,0.3306735904977095
Basel Landschaft,appartement,neutral,2032,0.34226185693135025
Basel Landschaft,appartement,neutral,2033,0.35425622751964975
Basel Landschaft,appartement,neutral,2034,0.36667093394992506
Basel Landschaft,appartement,neutral,2035,0.37952070665081766
Basel Landschaft,appartement,neutral,2036,0.39282079227039707
Basel Landschaft,appartement,neutral,2037,0.40658697176677483
Basel Landschaft,appartement,neutral,2038,0.4208355791326938
Basel Landschaft,appartement,neutral,2039,0.4355835207763097
Basel Landschaft,appartement,neutral,2040,0.450848295581161
Basel Landschaft,appartement,neutral,2041,0.46664801566912945
Basel Landschaft,appartement,neutral,2042,0.4830014278910259
Basel Landschaft,appartement,neutral,2043,0.49992793607030206
Basel Landschaft,appartement,neutral,2044,0.5174476240262802
Basel Landschaft,appartement,neutral,2045,0.5355812794042184
Basel Landschaft,appartement,neutral,2046,0.5543504183404868
Basel Landschaft,appartement,neutral,2047,0.5737773109921219
Basel Landschaft,appartement,neutral,2048,0.5938850079610479
Basel Landschaft,appartement,neutral,2049,0.6146973676443203
Basel Landschaft,appartement,neutral,2050,0.636239084542844
Basel Landschaft,appartement,neutral,2051,0.6585357185621525
Basel Stadt,appartement,neutral,2026,0.3016260912162517
Basel Stadt,appartement,neutral,2027,0.31219640468788584
Basel Stadt,appartement,neutral,2028,0.3231371487361257
Basel Stadt,appartement,neutral,2029,0.3344613048881942
Basel Stadt,appartement,neutral,2030,0.3461823096014944
Basel Stadt,appartement,neutral,2031,0.358314070206377
Basel Stadt,appartement,neutral,2032,0.3708709814076134
Basel Stadt,appartement,neutral,2033,0.3838679423641522
Basel Stadt,appartement,neutral,2034,0.39732037436742723
Basel Stadt,appartement,neutral,2035,0.4112442391391907
Basel Stadt,appartement,neutral,2036,0.42565605777058463
Basel Stadt,appartement,neutral,2037,0.4405729303249196
Basel Stadt,appartement,neutral,2038,0.45601255612742336
Basel Stadt,appartement,neutral,2039,0.47199325476603066
Basel Stadt,appartement,neutral,2040,0.48853398782813445
Basel Stadt,appartement,neutral,2041,0.5056543813990889
Basel Stadt,appartement,neutral,2042,0.5233747493491596
Basel Stadt,appartement,neutral,2043,0.5417161174365516
Basel Stadt,appartement,neutral,2044,0.5607002482551138
Basel Stadt,appartement,neutral,2045,0.5803496670563221
Basel Stadt,appartement,neutral,2046,0.6006876884761788
Basel Stadt,appartement,neutral,2047,0.6217384441987407
Basel Stadt,appartement,neutral,2048,0.6435269115890997
Basel Stadt,appartement,neutral,2049,0.6660789433297902
Basel Stadt,appartement,neutral,2050,0.6894212980957871
Basel Stadt,appartement,neutral,2051,0.7135816723044911
Bern,appartement,neutral,2026,0.2642504499999999
Bern,appartement,neutral,2027,0.2735109555492953
Bern,appartement,neutral,2028,0.2830959902073529
Bern,appartement,neutral,2029,0.2930169269107661
Bern,appartement,neutral,2030,0.30328553715417195
Bern,appartement,neutral,2031,0.31391400495748967
Bern,appartement,neutral,2032,0.32491494132263254
Bern,appartement,neutral,2033,0.336301399196847
Bern,appartement,neutral,2034,0.3480868889604337
Bern,appartement,neutral,2035,0.3602853944572268
Bern,appartement,neutral,2036,0.37291138958685177
Bern,appartement,neutral,2037,0.38597985547845
Bern,appartement,neutral,2038,0.3995062982662462
Bern,appartement,neutral,2039,0.41350676748805076
Bern,appartement,neutral,2040,0.427997875128527
Bern,appartement,neutral,2041,0.44299681532981844
Bern,appartement,neutral,2042,0.45852138479292415
Bern,appartement,neutral,2043,0.47459000389402867
Bern,appartement,neutral,2044,0.491221738540841
Bern,appartement,neutral,2045,0.5084363227948772
Bern,appartement,neutral,2046,0.5262541822865272
Bern,appartement,neutral,2047,0.5446964584506899
Bern,appartement,neutral,2048,0.5637850336117318
Bern,appartement,neutral,2049,0.5835425569475335
Bern,appartement,neutral,2050,0.6039924713634319
Bern,appartement,neutral,2051,0.6251590413079435
Fribourg,appartement,neutral,2026,0.269191851275709
Fribourg,appartement,neutral,2027,0.2786255254002518
Fribourg,appartement,neutral,2028,0.28838979722701447
Fribourg,appartement,neutral,2029,0.2984962523629695
Fribourg,appartement,neutral,2030,0.3089568824260447
Fribourg,appartement,neutral,2031,0.31978409927354434
Fribourg,appartement,neutral,2032,0.33099074972919756
Fribourg,appartement,neutral,2033,0.342590130826307
Fribourg,appartement,neutral,2034,0.3545960055850854
Fribourg,appartement,neutral,2035,0.3670226193428998
Fribourg,appartement,neutral,2036,0.3798847166567997
Fribourg,appartement,neutral,2037,0.3931975587983846
Fribourg,appartement,neutral,2038,0.4069769418617694
Fribourg,appartement,neutral,2039,0.42123921550613286
Fribourg,appartement,neutral,2040,0.43600130235508755
Fribourg,appartement,neutral,2041,0.45128071807589065
Fribourg,appartement,neutral,2042,0.467095592162318
Fribourg,appartement,neutral,2043,0.483464689445863
Fribourg,appartement,neutral,2044,0.5004074323607824
Fribourg,appartement,neutral,2045,0.5179439239894085
Fribourg,appartement,neutral,2046,0.5360949719150704
Fribourg,appartement,neutral,2047,0.5548821129109281
Fribourg,appartement,neutral,2048,0.5743276384940118
Fribourg,appartement,neutral,2049,0.5944546213747883
Fribourg,appartement,neutral,2050,0.6152869428336373
Fribourg,appartement,neutral,2051,0.6368493210567202
Geneva,appartement,neutral,2026,0.2488716045659714
Geneva,appartement,neutral,2027,0.25759316729233656
Geneva,appartement,neutral,2028,0.26662037218516166
Geneva,appartement,neutral,2029,0.2759639302989733
Geneva,appartement,neutral,2030,0.28563492805106416
