OBJECTID_x;EGID;NO_AUTOR;CATEGORIE_BATPRO;NOMBAT;DESTINATION;NOMENCLATURE;NOMEN_CLASSE;NIVEAUX_HORSOL;NIVEAUX_SSOL;HAUTEUR;DATEDT;TYPE;GENRE;COMMUNE;SHAPE.AREA;SHAPE.LEN;VOLUME;SURFACE_TOTALE;SURFACE_PARTAGE;SURFACE_TOTALE_HS;DATE_LEVE;OBJECTID_y;famille_brute;typologie_detaillee;HAUTEUR_RETENUE;Sdep;k;typologie_finale
120;1000074;DD 333567/1;Bâtiment;;Atelier;3.2.2;Activités;1.0;0.0;5.24;20240726135358.0;Transformation;Hors-sol;Anières;57.26880732;30.3252597452668;123.95;85.17;0.0;71.04;20050801;10888;Activités;Activités;3.2;211.57844582485376;2.9783001946066125;Activités
6722;1001433;DD 343696;Bâtiment;;Bureaux;3.4.1;Activités;3.0;1.0;10.75;20260306113750.0;Transformation;Hors-sol;Bellevue;245.187462735;72.4029480115764;2081.86;529.43;0.0;506.43;20050801;6542;Activités;Activités;10.75;1268.7066165944461;2.5051964073898585;Activités
6623;1005518;DD 342907;Bâtiment;;Restaurant;3.6.2;Activités;3.0;1.0;;20260128151315.0;Transformation;Hors-sol;Chêne-Bougeries;242.065430095;62.5581078742952;2819.59;626.29;2.47;518.74;20050801;16778;Activités;Activités;9.600000000000001;1084.688695783234;2.0910064691044337;Activités
4071;1009900;DD 106596/3;Bâtiment;;Restaurant;3.6.2;Activités;2.0;1.0;;20150122095712.0;Transformation;Hors-sol;Dardagny;275.641103145;82.1651322497934;1672.93;459.79;11.7;427.52;20050801;24110;Activités;Activités;6.4;1077.1390526886778;2.5195056434521845;Activités
2506;1010167;DD 330724;Bâtiment;;Bureaux;3.4.1;Activités;8.0;2.0;21.38;20240213092345.0;Transformation;Hors-sol;Genève-Cité;314.83392818;73.5633740956574;7344.0;1734.51;0.0;1729.03;20160301;2529;Activités;Activités;21.38;2202.452794525155;1.2738083171056342;Activités
5038;1010238;DD 112312;Bâtiment;;Bureaux;3.4.1;Activités;7.0;1.0;20.2;20190219153842.0;Transformation;Hors-sol;Genève-Cité;325.267010135;73.081920180226;6612.81;1605.08;317.34;1424.7;20050801;33518;Activités;Activités;20.2;2126.7888079105655;1.4927976471612028;Activités
5336;1011504;APA 334552;Bâtiment;;Divertissement;3.6.3;Activités;6.0;1.0;;20240912090555.0;Transformation;Hors-sol;Genève-Cité;114.565308615;42.9262941532467;2129.6;760.74;381.89;707.95;20050801;27367;Activités;Activités;19.200000000000003;1053.3154649723367;1.4878387809482825;Activités
6349;1012074;DD 331533/2;Bâtiment;;Bureaux;3.4.1;Activités;7.0;2.0;25.8;20251121142233.0;Transf-Surelev;Hors-sol;Genève-Plainpalais;6304.11485896;447.883471023427;85342.423;7499.0;0.0;6181.226;20230301;80007;Activités;Activités;25.8;24163.623270324417;3.9091958893469383;Activités
5797;1013779;APA 338728;Bâtiment;;Autre bât. d'activités;3.7.1;Activités;3.0;1.0;;20250530093040.0;Transformation;Hors-sol;Genève-Eaux-Vives;120.625809605;48.7328937138973;1341.071;417.0;0.0;413.433;20230301;77026;Activités;Activités;9.600000000000001;709.0873988634141;1.7151204641705287;Activités
4267;1018553;DD 320659;Bâtiment;;Bureaux;3.4.1;Activités;3.0;1.0;11.97;20220725120003.0;Transformation;Hors-sol;Jussy;178.80996276;54.0512775888968;1791.64;458.98;83.13;429.25;20050801;31056;Activités;Activités;11.97;1004.6137182590946;2.340393053603016;Activités
2630;1025695;APA 324146;Bâtiment;;Restaurant;3.6.2;Activités;3.0;1.0;9.4;20230104160603.0;Transformation;Hors-sol;Satigny;160.611837945;61.0156159096173;1144.6;417.52;0.0;384.86;20050801;47312;Activités;Activités;9.4;894.7704654404026;2.3249245581260785;Activités
4724;190125843;DD 322612;Bâtiment;;Commerce;3.3.3;Activités;1.0;0.0;4.35;20221020115918.0;Transformation;Hors-sol;Lancy;63.197589135;32.9401800457925;68.0;78.54;0.0;77.14;20190608;35259;Activités;Activités;4.35;269.68496146919733;3.4960456503655344;Activités
321;2034202;APA 43260;Bâtiment;;Station-service;3.3.2;Activités;1.0;0.0;3.6;20211029093104.0;Transformation;Hors-sol;Bardonnex;120.639749215;54.5071189366597;289.56;122.1;0.0;121.27;20050801;8127;Activités;Activités;3.6;437.5051266019749;3.607694620285107;Activités
3542;2034576;DD 329388;Bâtiment;;Bureaux;3.4.1;Activités;2.0;1.0;;20231116112814.0;Transformation;Hors-sol;Bernex;195.862075085;59.2758296722747;1580.41;426.62;0.0;276.47;20050801;17931;Activités;Activités;6.4;771.089460072558;2.7890529173963103;Activités
4196;2035039;DD 113768/2;Bâtiment;;Bureaux;3.4.1;Activités;8.0;1.0;4.38;20230712082820.0;Surelevation;Hors-sol;Carouge;156.23898101;60.9857521640279;7213.0;1618.0;0.0;1574.59;20190608;29528;Activités;Activités;25.6;1873.7132174191142;1.1899689553592454;Activités
2703;2035061;DD 112706;Bâtiment;;Bureaux;3.4.1;Activités;4.0;0.0;16.0;20190618131547.0;Transformation;Hors-sol;Carouge;1460.967630555;249.128872042697;14897.896;2700.0;0.0;2616.516;20230301;79335;Activités;Activités;16.0;6907.997213793152;2.6401509540905357;Activités
5525;2037256;DD 335554;Bâtiment;;Hôtel;3.6.1;Activités;8.0;2.0;25.12;20241119114330.0;Surelevation;Hors-sol;Genève-Cité;265.64665925;65.7843160350409;6644.77;1578.61;809.18;1543.38;20050801;28314;Activités;Activités;25.12;2183.7953373002274;1.4149433952106591;Activités
5624;2037549;DD 329564/1;Bâtiment;;Bureaux;3.4.1;Activités;5.0;0.0;15.05;20231222091730.0;Transf-Surelev;Hors-sol;Genève-Plainpalais;92.903120845;79.5912194356053;2197.82;778.19;231.47;770.08;20050801;43839;Activités;Activités;15.05;1383.6540941958597;1.79676669202662;Activités
2821;2037598;DD 112498;Bâtiment;;Bureaux;3.4.1;Activités;9.0;0.0;28.0;20190510091533.0;Transformation;Hors-sol;Genève-Plainpalais;369.947951715;85.8861010288068;6528.75;1641.17;1470.03;1556.19;20050801;43386;Activités;Activités;28.0;3144.7067322365906;2.020772998307784;Activités
1937;2037621;DD 316456;Bâtiment;;Bureaux;3.4.1;Activités;9.0;1.0;27.07;20211029093150.0;Surelevation;Hors-sol;Genève-Cité;140.47427735;47.6519344114826;3349.54;1187.43;763.93;1120.88;20050801;28337;Activités;Activités;27.07;1570.886419218834;1.4014760003022926;Activités
3801;2037733;DD 334765/1;Bâtiment;;Bureaux;3.4.1;Activités;7.0;1.0;21.0;20241007140827.0;Transformation;Hors-sol;Genève-Cité;372.70939411;84.0229634419683;7891.89;1896.27;1590.29;1874.43;20050801;27269;Activités;Activités;21.0;2509.901020501334;1.3390209399664614;Activités
